zipcode,borough,Population,Population Density,Housing Units,Median Home Value,Land Area,Water Area,Occupied Housing Units,Median Household Income,Male,Female,White,Black Or African American,American Indian Or Alaskan Native,Asian,Native Hawaiian & Other Pacific Islander,Other Race,Two Or More Races,Husband Wife Family Households,Single Guardian,Singles,Singles With Roommate,Households without Kids,Households with Kids,In Occupied Housing Units,Correctional Facility For Adults,Juvenile Facilities,Nursing Facilities,Other Institutional,College Student Housing,Military Quarters,Other Noninstitutional,Owned Households With A Mortgage,Owned Households Free & Clear,Renter Occupied Households,Households Vacant,For Rent,Rented & Unoccupied,For Sale Only,Sold & Unoccupied,For Season Recreational Or Occasional Use,For Migrant Workers,Vacant For Other Reasons,Studio Apartment,1 Bedroom,2 Bedroom,3+ Bedroom,Worked Full-time with Earnings,Worked Part-time with Earnings,No Earnings,"Car, truck, or van",Public transportation,Taxicab,Motorcycle,"Bicycle, Walked, or Other Means",Worked at Home,Less than High School Diploma,High School Graduate,Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Enrolled in Public School,Enrolled in Private School,Not Enrolled in School
10031,Manhattan,56438.0,86722.0,22604.0,369800.0,0.65,0.0,20638.0,37655.0,27491.0,28947.0,14020.0,18908.0,752.0,1384.0,38.0,17517.0,3819.0,4502.0,7009.0,6426.0,2701.0,14365.0,6273.0,56036.0,0.0,16.0,0.0,0.0,0.0,0.0,386.0,1175.0,961.0,18502.0,1966.0,1014.0,61.0,150.0,50.0,77.0,1.0,613.0,1585.0,4928.0,6665.0,5295.0,18898.0,12590.0,17850.0,2681.0,21090.0,190.0,28.0,1897.0,1755.0,11054.0,15018.0,1938.0,7171.0,3879.0,839.0,397.0,7373.0,1036.0,857.0
10032,Manhattan,57331.0,87199.0,21417.0,334900.0,0.66,0.0,20228.0,34568.0,27659.0,29672.0,16205.0,12662.0,901.0,1987.0,40.0,21256.0,4280.0,4850.0,7044.0,5800.0,2534.0,14077.0,6151.0,56531.0,121.0,0.0,20.0,28.0,342.0,0.0,289.0,824.0,686.0,18718.0,1189.0,886.0,51.0,67.0,15.0,44.0,0.0,126.0,1084.0,5622.0,7141.0,4206.0,16764.0,14132.0,19221.0,3256.0,16135.0,170.0,22.0,3885.0,1707.0,14781.0,13839.0,1676.0,7222.0,2726.0,515.0,461.0,7114.0,620.0,855.0
10033,Manhattan,53926.0,89201.0,20116.0,422100.0,0.6,0.0,18975.0,41556.0,26461.0,27465.0,22900.0,5246.0,728.0,1253.0,35.0,19863.0,3901.0,5699.0,5844.0,5115.0,2317.0,13143.0,5832.0,53065.0,0.0,0.0,8.0,0.0,768.0,0.0,85.0,1333.0,644.0,16998.0,1141.0,691.0,46.0,56.0,64.0,105.0,0.0,179.0,871.0,5292.0,6570.0,4319.0,17746.0,14743.0,17375.0,3405.0,16740.0,398.0,0.0,4440.0,1784.0,12256.0,13461.0,2138.0,7413.0,3374.0,1077.0,1088.0,6005.0,1457.0,718.0
10034,Manhattan,38908.0,34544.0,15671.0,354700.0,1.13,0.0,15007.0,41171.0,18260.0,20648.0,14560.0,5000.0,601.0,886.0,29.0,14961.0,2871.0,4109.0,4831.0,4634.0,1433.0,10252.0,4755.0,38716.0,0.0,0.0,0.0,160.0,0.0,0.0,32.0,919.0,448.0,13640.0,664.0,534.0,34.0,19.0,9.0,33.0,0.0,35.0,685.0,6607.0,5082.0,1252.0,13584.0,9402.0,11239.0,3524.0,12457.0,121.0,0.0,2223.0,950.0,8423.0,10091.0,1394.0,5582.0,2953.0,490.0,315.0,5175.0,773.0,813.0
10035,Manhattan,33969.0,24329.0,13935.0,445900.0,1.4,0.0,12775.0,24533.0,17014.0,16955.0,8517.0,14795.0,439.0,1062.0,36.0,7333.0,1787.0,2320.0,4536.0,4947.0,972.0,8748.0,4027.0,31113.0,0.0,0.0,323.0,498.0,0.0,0.0,2035.0,926.0,266.0,11583.0,1160.0,714.0,41.0,148.0,58.0,37.0,0.0,162.0,1314.0,3734.0,4289.0,2082.0,8200.0,4934.0,14023.0,853.0,8793.0,70.0,0.0,1082.0,419.0,7990.0,8223.0,923.0,3050.0,1439.0,227.0,339.0,5030.0,600.0,650.0
10036,Manhattan,24711.0,55745.0,17958.0,810300.0,0.44,0.0,15183.0,66599.0,13786.0,10925.0,15736.0,2301.0,91.0,4224.0,17.0,1436.0,906.0,2270.0,1164.0,8919.0,2830.0,14018.0,1165.0,24161.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,1159.0,509.0,13515.0,2775.0,1664.0,41.0,50.0,26.0,751.0,0.0,243.0,3335.0,6585.0,2302.0,391.0,10620.0,6628.0,4756.0,831.0,6658.0,369.0,0.0,6387.0,1103.0,1131.0,4610.0,656.0,7188.0,3895.0,1230.0,423.0,718.0,194.0,139.0
10037,Manhattan,17416.0,65973.0,9451.0,260200.0,0.26,0.0,8885.0,37341.0,7307.0,10109.0,1465.0,13451.0,115.0,299.0,5.0,1376.0,705.0,1186.0,2652.0,4477.0,570.0,6872.0,2013.0,16929.0,0.0,0.0,196.0,42.0,0.0,0.0,249.0,344.0,310.0,8231.0,566.0,411.0,25.0,70.0,8.0,14.0,0.0,38.0,997.0,3517.0,2478.0,782.0,5066.0,3011.0,6413.0,791.0,4880.0,108.0,0.0,900.0,243.0,1612.0,5317.0,1033.0,2434.0,1105.0,637.0,77.0,2168.0,396.0,244.0
10038,Manhattan,20300.0,68214.0,10211.0,616300.0,0.3,0.0,9410.0,66074.0,9410.0,10890.0,10819.0,1630.0,45.0,6068.0,14.0,1021.0,703.0,2451.0,1357.0,3777.0,1825.0,8065.0,1345.0,18671.0,0.0,0.0,0.0,7.0,1533.0,0.0,89.0,1102.0,1268.0,7040.0,801.0,362.0,42.0,48.0,19.0,193.0,0.0,137.0,1164.0,2677.0,2146.0,985.0,8032.0,4316.0,5559.0,344.0,5924.0,179.0,0.0,4079.0,536.0,2470.0,2944.0,350.0,4873.0,2110.0,1209.0,298.0,1453.0,311.0,165.0
10039,Manhattan,24527.0,52965.0,10868.0,352300.0,0.46,0.0,10070.0,33595.0,10992.0,13535.0,2636.0,17120.0,173.0,442.0,7.0,3204.0,945.0,1745.0,4151.0,3481.0,693.0,6622.0,3448.0,24291.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,791.0,325.0,8954.0,798.0,486.0,17.0,170.0,3.0,7.0,1.0,114.0,522.0,2641.0,4227.0,1652.0,7110.0,5140.0,8597.0,1460.0,6947.0,41.0,0.0,789.0,407.0,3849.0,7088.0,1376.0,2803.0,1361.0,153.0,111.0,4080.0,730.0,438.0
10040,Manhattan,41905.0,111184.0,16506.0,317300.0,0.38,0.0,15718.0,42721.0,19326.0,22579.0,16204.0,4623.0,535.0,1141.0,23.0,16172.0,3207.0,4368.0,4955.0,4886.0,1509.0,10765.0,4953.0,40988.0,0.0,0.0,896.0,0.0,0.0,0.0,21.0,952.0,683.0,14083.0,788.0,560.0,28.0,54.0,21.0,62.0,0.0,63.0,748.0,7329.0,4376.0,1618.0,14172.0,9572.0,13765.0,2864.0,14227.0,145.0,0.0,2246.0,820.0,9079.0,10171.0,1353.0,6509.0,3145.0,603.0,596.0,5695.0,714.0,680.0
